id,name,gpa,race,absence_rate,risk,income,lat,lng,grade_0,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_13,grade_14,grade_15,grade_16,grade_17,grade_18,grade_19,grade_20,grade_21,grade_22,grade_23,grade_24,grade_25,grade_26,grade_27
700175,Dr. Patrick Vega,2.126112908,White,41,52.75304648888889,159250,34.259967709499726,-109.739420736296,1.647322769,1.69054251,1.91487132,1.802225328,1.432153432,2.575789765,2.170726561,2.176535293,2.477344466,2.062129283,1.722408347,2.559399773,2.313261388,2.299903037,1.928071478,2.118794673,1.734452292,1.70120305,2.199659279,2.230264323,2.76997703,2.382865216,2.431975138,1.761035594,2.658834138,1.995651316,2.263144888,2.510619737
700176,Willie Bruce,2.2269331925357143,Hispanic,6,50.512595721428575,431542,35.153936904882464,-111.00778876978009,1.972118303,2.66644238,2.832715524,2.928342693,2.93179303,2.752121209,2.485516662,2.556444089,2.583858786,2.159265713,2.024868014,2.446356164,1.735937949,1.488983293,1.59533608,1.83248071,2.095046707,1.633588073,1.849799466,2.196935127,2.462520057,1.552468317,1.595031583,2.098979154,2.527878057,2.658398521,2.354725269,2.336178461
700177,William Fernandez,4.7606665186785735,South Asian,29,-5.792589303968313,317450,34.97387639709251,-112.23477421500051,4.613279843,3.812952996,4.413283315,3.744432871,4.5642265,4.495020916,3.723355206,3.977362236,4.929848311,4.249028928,4.35756686,4.473952714,4.753806862,4.523050781,4.709280383,5.334731946,5.042252446,5.068024828,5.132065729,5.767661285,5.077900887,5.067157334,5.441590901,5.746612161,4.866218855,5.479293482,5.210389196,4.724314751
700178,Alicia Mays,3.828200986,Hispanic,31,14.928866977777773,392957,36.32099603552017,-112.25276154893662,4.124779464,3.910429233,3.588757853,3.951823375,4.124337011,4.193311913,4.487288003,4.057585587,4.209248453,4.703864242,4.305155204,4.077166819,4.152355642,4.570882002,4.34218846,3.982860381,2.860798897,2.964099453,2.33786169,2.857099123,3.371885218,3.747618338,3.706574503,3.562710386,3.640464491,4.303115121,3.657105697,3.398261049
700179,Mark Smith,1.6131125600357143,Hispanic,54,64.15305422142856,100339,34.05313143550476,-110.13921013639104,1.444637132,0.963789884,1.204906492,0.7834667,1.547465183,1.337039391,1.406049041,1.475724756,1.820521212,1.349405638,2.237332204,1.489330593,1.426650987,1.332832018,1.734308458,1.685299322,1.99396798,1.332317145,1.657185683,0.966598604,1.643316257,1.714009824,1.807539402,1.838831296,2.821326066,2.567507383,2.085781516,1.500011514
700180,Susan Hernandez,1.8889951240357143,East Asian,50,58.022330576984125,239259,34.56162958673633,-112.21771621422816,1.119509587,1.709209452,1.964588026,1.59628818,1.529001653,1.744137772,1.725189318,1.871250744,2.187888629,1.909754709,1.982607592,2.412599029,2.400636122,1.956466605,1.327274799,0.729489303,1.863213198,1.543637024,0.825797711,0.521150753,2.270668757,1.425864868,2.650381444,2.29457003,2.648825644,2.319635272,3.555767916,2.806459336
700181,Jessica Jackson,3.989004990642857,Black,75,11.355444652380953,396955,36.275648921297886,-110.97782177188266,4.103790844,3.928606504,4.458178246,4.551190642,4.016237948,4.029055197,4.085830663,4.24197134,4.108092425,4.767300313,4.620839521,4.652250661,4.275569362,4.489096225,3.943486649,3.479323129,4.457688604,4.623926997,3.789203254,3.997403955,3.996514543,3.986068102,4.328230075,3.617689869,3.623714722,3.177043002,1.932335993,2.411500953
700182,Haley Rodriguez,1.3261202295714283,South Asian,23,70.53066156507937,309140,35.7999835884975,-109.20034614632137,0.981778865,1.820773553,2.186167233,1.465616917,1.49672587,1.487601372,1.352471585,1.933005816,1.470632964,1.88855822,2.091441313,0.83883918,0.7511238,-0.167390408,0.951682308,1.14545075,1.013026634,0.351709584,1.113591085,1.107928074,2.076096547,1.76778071,2.132174038,1.881802776,0.759371076,0.591251987,0.945829186,1.696325393
700183,William Flores,2.6284818543214286,East Asian,99,41.58929212619048,422882,36.114192810608365,-112.30919818204907,3.458212043,3.07801263,3.299335942,3.578251956,3.160992637,2.540708771,2.200224635,2.030482011,3.240287034,2.658842429,2.775498934,2.968743982,2.548786262,2.411834288,2.342951016,2.438828109,2.872562171,2.730514528,2.428692285,2.399403127,2.662126833,2.450648992,3.084088776,2.705813757,2.464231614,2.054734664,1.759704872,1.252977623
700184,Christina Newman,2.3178548428214287,South Asian,72,48.49211460396825,394541,35.13664327893601,-109.42924529343588,2.053350752,1.827862989,1.489304037,1.480772623,2.38551325,1.614837632,1.442276505,1.327848391,1.983655807,2.64559693,2.605173591,2.671518383,2.659939869,1.664368261,1.841344131,2.17137947,2.338954231,1.977913396,2.453661336,2.649729518,2.813168605,3.338198177,3.525415319,3.177710247,2.72298602,2.607937232,2.932746487,2.49677241
700185,Lauren Mendoza,3.3306523097857137,South Asian,16,25.985504226984133,50865,35.58363484887577,-110.88236270437484,2.941613807,2.739680068,3.101313068,3.626517994,3.276827007,4.398786235,3.935457311,3.670942066,3.783285982,3.702139446,4.318147745,3.542733596,3.801154218,3.507014005,3.949993909,3.116737402,3.314155755,3.066790034,3.019010484,3.429910854,2.34994834,3.313356449,3.324558574,3.548459319,3.301103088,2.740951717,2.684202923,1.753473278
700186,Edward Marsh,3.14183575075,South Asian,0,30.18142776111111,450725,35.17408805969813,-110.36603313772967,3.705222198,3.726720068,3.681319232,3.573734955,2.914992405,2.84615126,3.068712217,3.543162775,3.849589346,3.696646116,3.156300425,2.978141339,3.371251089,2.880452732,2.873910617,2.639428696,2.338714221,2.43947156,2.036579712,2.440777755,3.305349507,3.709353586,4.137238515,3.502126896,3.0953839,3.113712455,2.693217145,2.653740299
700187,Paul Holland,1.9891121407499992,Black,52,55.79750798333335,75100,33.9504551397946,-110.05830085277147,2.372307568,1.558039027,1.980913494,2.195581165,2.271394655,2.283635421,2.182928375,2.689270388,2.14603902,2.445847721,3.094159136,2.368997376,2.36639854,1.601004929,1.734415795,1.64875143,1.358000036,0.746803345,1.735450478,1.633172246,1.486225261,1.56549597,1.96542363,2.338966774,2.430944872,2.623635427,1.402986691,1.468351171
700188,Michelle Hughes,2.398299870428571,Black,21,46.704447323809525,286624,36.15505197162865,-109.82165032302471,2.744502936,2.420983743,2.389593274,2.379097282,2.747154285,2.594426611,2.446690244,2.293589683,2.75912384,2.34161807,2.535088127,2.475911205,2.526681556,2.891506097,2.47156264,2.894210689,3.581429133,2.463718153,2.549800442,2.496651886,1.96478726,2.202805598,1.918255561,2.078321463,1.660901388,1.544047066,1.756477312,2.023460828
700189,Dr. Shannon Clark,2.128147332714286,White,33,52.70783705079364,175004,36.438874469174856,-111.83463006732113,2.527981468,2.313176698,2.113733505,2.344288582,3.020006711,2.524142343,2.299842051,2.531749197,2.36809343,1.86845148,2.316602382,1.671454673,1.331709009,1.381375681,1.939104187,1.936691811,2.647940923,2.683759321,3.357161562,2.401978637,2.458265136,1.581902199,1.913518826,1.372189687,2.06238516,1.691451708,1.598716788,1.330452161
700190,Aaron Ward,1.8229544172499996,East Asian,61,59.4899018388889,195003,35.06089966145552,-110.848433537501,2.557406702,2.738481024,2.446594978,2.139331325,1.292922408,2.068742682,1.787100631,1.868377875,2.06678358,1.841147562,1.72692364,2.103329479,2.43646767,1.331443246,1.689597271,1.459436912,2.159609443,2.123734753,1.193751119,1.423659559,2.071761803,2.623787854,1.851691509,1.366640056,1.544362577,0.662683805,1.127915888,1.339038332
700191,Joshua Jefferson,2.5601738508928578,Hispanic,57,43.1072477579365,474102,35.539333143727156,-111.94326769344995,2.716817369,2.785630421,2.778955215,2.380713936,1.934019477,2.390361561,2.699335864,2.168266206,2.182140097,2.449857131,2.507831624,1.658335759,2.672941513,2.255066064,1.897835264,2.427567304,3.028607091,2.461601725,3.119591985,2.341931741,3.336442867,3.585614483,2.527569983,2.756791775,2.485772296,2.68367668,3.060497727,2.391094667
700192,Anthony Sanchez,2.6017123913214286,White,17,42.18416908174603,114352,34.215760399123454,-110.02367315358445,3.169176079,3.36416976,2.904407177,2.708515389,2.732914641,2.400016189,2.584992223,1.750162628,1.279432414,1.224576384,2.043909353,2.385609934,3.034447982,2.732381172,2.684862397,2.557047353,2.664390574,2.179671922,2.733316415,1.780890686,3.403687316,2.98097207,3.340747283,2.585527255,3.274682788,2.543371862,2.947033072,2.857034639
700193,Michael Adkins,2.1265759163571434,Hispanic,12,52.7427574142857,147937,35.97067561622544,-110.19390230725296,2.526487696,2.295451485,1.940420673,2.428045634,3.244913384,2.389336388,2.709429228,2.247576314,3.182510842,2.617233831,2.632004551,2.864854798,1.746933689,1.431176501,1.550140092,1.168709875,1.774913825,1.261372012,1.704989089,1.532428132,2.469215693,1.896909669,2.433943482,2.388036045,1.804803953,1.605831616,2.220286637,1.476170524
700194,Alexa Ballard,1.9408948580357137,Black,99,56.86900315476191,315409,36.29166659083102,-111.70122533501142,1.942828665,1.982809574,2.298043457,2.199770671,2.161327236,2.207661725,2.290506061,2.426048345,2.512929182,2.514726767,1.950155983,2.424761366,2.563875479,2.155305177,1.910997008,1.794446793,2.361576959,1.905115884,1.858589716,1.684597125,2.043855015,1.325168268,1.714329514,1.329119125,1.182903713,0.953810053,1.545037479,1.104759685
700195,Jeffrey White,2.4190602708571425,White,83,46.243105092063495,285741,33.84491723474698,-109.26052615772198,2.271119075,2.744628025,2.963840404,2.903405717,2.62956538,2.384641909,2.290574559,2.267259804,2.785718541,2.706622912,2.246759697,1.609451883,2.164552682,2.22296056,1.37433178,1.569556351,2.528731777,2.340741995,2.474046713,3.016250928,2.879123703,2.203709952,2.431444189,2.431479074,2.430149963,1.843350217,3.286063021,2.733606773
700196,Terry Brown,2.6872762682142857,Black,86,40.2827495952381,73166,36.44674976433257,-109.7118882105551,3.09310069,3.066327081,2.842385307,2.824550448,2.093910307,2.90538562,3.299856335,3.547048454,3.616728448,3.075467775,3.077945269,3.268262338,3.477653888,2.887779981,3.176464142,2.117569206,2.584644959,1.885391218,1.626616844,2.161207308,2.841778231,2.573938602,2.777330517,2.845539176,2.678716361,1.671344382,1.898268487,1.328524136
700197,Jennifer Cooke,2.406811667142857,South Asian,77,46.51529628571428,19825,35.08396250280778,-111.30009841920067,2.491468143,2.106159989,2.479355773,2.219891694,2.232482908,2.081244545,2.122885284,2.477150901,2.280914901,2.354882488,1.826640354,1.821935191,3.343178473,2.68262318,2.525049355,2.164970929,1.938530863,2.031193143,2.282308211,2.424417669,3.086532014,2.775489748,2.533381265,2.423726544,2.401023951,2.682351034,3.289687111,2.311251019
700198,Robert Gibbs,2.096183425428572,South Asian,49,53.4181461015873,388384,34.42878583378803,-110.95301462554305,2.115166837,1.837955793,2.022199438,2.407250938,2.940738802,1.647998778,1.609357941,1.698128353,1.729317339,1.732777317,2.116589273,2.301652387,2.309759068,1.743195491,2.507627435,2.256199985,2.150580126,2.418357709,2.425913459,2.32581152,2.057452364,1.809348725,2.254456019,1.836168517,2.486643187,2.495693469,1.488492567,1.968303075
700199,William Moran,2.6072885555357144,South Asian,60,42.06025432142857,146367,35.75604579147607,-110.8019956256553,2.623845709,2.954378224,2.626262872,2.684892773,2.879778346,2.723367428,2.395429122,2.397743081,2.597438168,2.129431348,2.116409228,2.099514727,2.399755566,1.884543449,2.367057091,2.605826396,3.054786396,2.926676156,2.824972248,2.865716261,3.039599966,2.767296695,2.25078579,2.562011513,3.303401326,3.11555555,2.729410481,2.078193645
700200,Brenda Griffin,2.4655463623571428,East Asian,45,45.210080836507935,492628,33.58536693946008,-110.56457830545126,3.093715971,2.69347816,3.012917351,2.686276093,2.365224792,2.622659574,2.386085591,2.848224109,1.987998962,2.240337475,2.367710882,2.714625598,2.913409195,2.995697985,2.969164488,3.153563437,2.333260402,1.742432414,2.077291091,2.128696115,2.507343863,2.627341698,1.583711459,2.113714324,2.732026771,1.794114052,2.586529797,1.757746497
700201,William Bridges,1.7213036366785721,South Asian,45,61.748808073809506,297745,33.721541677596214,-111.6625587008981,2.356169811,1.692117186,1.826267525,1.519471664,1.414476325,1.180765178,1.072988495,1.168424161,1.151713895,1.79158282,1.552920181,1.080599791,2.366678388,2.198724197,1.766814747,2.043310341,1.581973988,1.31495354,1.531084994,1.756563985,1.81414714,2.416668827,2.772254426,2.824803889,1.62488576,1.905833782,1.358724604,1.111582187
700202,James Diaz,3.860614558285714,Hispanic,85,14.208565371428577,159241,33.78313149586646,-110.30476884864586,4.444039599,4.48738089,4.114444954,4.30117271,3.768520051,3.461779452,3.566452542,3.905424404,3.829386075,3.990157622,4.179968657,4.231610719,4.053888586,4.261673565,3.880967256,3.672395303,3.877842271,3.069640726,3.558615865,3.395219842,3.043096453,3.186418459,3.543764617,3.356723336,4.614540428,4.039979667,4.315006883,3.9470967
700203,Michael Turner,2.9883607394999996,South Asian,35,33.59198356666667,135124,35.878916784055654,-111.48695639373263,2.905729655,2.967919783,2.832999301,2.665073604,3.232903633,3.398588914,3.011881733,3.448466278,3.029775348,3.248488707,3.182394385,3.258163309,2.802296911,3.118085692,3.243409952,3.424184947,3.052095416,3.381860556,2.859782482,3.199720929,2.822461956,2.864701965,2.687350668,2.830338518,2.370793016,3.439988095,2.489796388,1.904848565
700204,Sandra Thomas,3.384802903,White,73,24.78215771111111,342082,36.31955796013692,-112.46797982502748,3.759373832,4.101105181,3.910770012,3.750353717,4.057072633,3.858635149,4.279373149,4.357713596,3.363267612,3.602769827,3.501469094,2.740025701,3.446392269,3.646055391,3.455493998,2.78442095,3.102563468,2.785439643,3.071985473,2.653823728,3.451617675,3.105327728,3.754207583,3.478321049,2.717968682,2.384002712,2.642324022,3.01260741
700205,Robert Gray MD,3.456792934392856,White,46,23.182379235714308,169589,36.11237786365678,-109.86805270966,3.788195416,3.678342151,4.00839389,3.951422699,2.320119675,2.749060684,3.631922816,3.326599883,3.354785248,3.98446889,4.29859464,4.110392311,3.105503982,3.064732632,3.294302168,2.868096257,2.873556984,2.84618417,3.133904562,3.771427077,3.259324949,3.761108187,3.443523534,3.798997315,3.659558643,3.658630414,3.11528913,3.933763856
700206,Latoya Campbell MD,3.0979986195714284,East Asian,86,31.155586231746042,319794,35.911874680090314,-110.79130675343909,2.853031014,2.424774903,2.987832621,3.076402253,4.267755213,3.882016024,3.055731772,3.080283727,3.817318479,3.655350879,3.430884403,3.089266365,2.755391847,3.247175496,2.672916433,3.079047079,2.77321698,1.591322199,2.734751242,2.323412111,3.345854767,3.247439086,3.283512052,2.97331609,3.639865758,2.876853476,3.519617051,3.059622028
700207,Jennifer Barton,3.438276731821429,White,44,23.593850403968247,313697,34.37342288576323,-111.92022417026718,3.615311611,3.392478736,3.264462168,3.753843191,3.359959983,4.057685121,3.562530196,3.54689483,3.532531427,3.67547781,3.21435765,3.324884611,3.639646001,3.071763865,3.221333001,2.817548599,2.983820457,2.448898098,3.417413805,3.974450749,3.811109837,3.947014444,3.730269041,3.356305928,3.330390997,3.099914744,3.496395292,3.625056299
700208,Kenneth Curtis,3.1404377437142856,White,32,30.212494584126986,243100,35.110578764823934,-109.65364088996442,3.038270261,3.410725133,3.092811069,3.260331572,3.505170722,3.858038227,3.534865097,3.4452216,3.258372453,3.425163016,3.374961779,2.540594445,2.935552296,2.729131905,3.192067735,2.549786718,3.023384281,2.880919565,2.854126405,2.889159706,3.441969713,2.905060441,3.430724192,4.334054848,3.067323253,2.502812338,2.388951592,3.062706462
700209,Eric Moore,2.256622267035714,South Asian,75,49.85283851031747,306552,33.870051740118036,-110.33372561738517,2.73432149,2.356043313,2.135492436,2.05413969,1.934637837,2.131889539,1.744057532,1.71093682,2.691295035,2.426607175,2.1722133,2.021230869,2.27805267,2.41062026,2.255432728,2.272404529,2.141527148,1.656548726,2.372071428,2.167048504,2.158296941,2.348874665,2.369127302,3.123739433,2.618626106,2.599867028,2.133624433,2.16669654
700210,Robert Bailey,2.6175461456428564,White,75,41.83230787460319,254363,34.567962688284226,-111.86023374394097,3.657258624,3.42300084,3.509106522,3.714216333,3.28044979,2.911494876,2.7959528,3.227077709,2.646379265,2.448636454,2.423685197,3.125902675,2.71198647,2.730614181,2.48778494,2.845680314,2.139324072,1.972666593,2.481825192,2.620332102,2.068045797,1.722182421,1.952383227,1.431333088,2.543795873,1.796295421,2.569626185,2.054255117
700211,Shelley Chambers,2.9954395112500007,Black,57,33.43467752777775,304377,34.32180623105027,-111.35676574092481,2.900552354,2.622698153,2.837166814,2.819164752,2.35074971,2.231613299,2.784184136,2.919196923,3.155390021,2.690411648,2.867439052,2.845590212,3.315955016,2.871110203,2.924212425,2.824983346,3.21718046,2.93742671,3.132530874,3.370577296,3.938544195,3.935169423,3.425422334,3.450588972,3.048472588,2.284810198,3.062123584,3.109041617
700212,David Orozco,3.858596383642858,Black,41,14.253413696825376,105889,35.02435864960371,-109.49148832478802,3.670031602,3.706392414,3.993486465,4.105681405,4.138805257,4.451990735,3.88599543,3.457557363,3.984978128,3.583998024,3.648597178,3.897634183,3.384468152,3.600268066,2.960845046,3.762857419,4.182905006,4.147046197,3.482484508,3.563424509,3.99893278,3.791696494,3.877385234,3.19996829,4.200062376,3.926498807,4.56049554,4.876212134
700213,John Gomez,2.73340939,East Asian,31,39.25756911111111,239415,34.47507373704111,-111.41150834351117,3.643826573,3.654636565,3.242508248,3.617955267,3.353933201,3.326107489,2.929541958,3.241076846,4.008852702,2.658187099,3.268925125,2.81389759,2.249436341,2.310702516,2.272048811,1.745343015,2.31466598,1.7818682,1.738564095,1.561237907,2.318297474,2.771804881,2.272510365,2.29169412,3.772831597,2.62924869,2.765979159,1.979781106
700214,Charles Estes,2.9098449037500003,Black,41,35.33677991666666,99447,35.94754251931112,-111.39933624769313,2.271583934,2.914980283,2.565908403,2.75615202,3.17770965,3.032134289,2.880627301,3.008565245,2.866747497,3.438806136,2.683932306,2.207110467,2.809636729,2.11706403,2.66086533,2.431025718,3.034901297,3.164371785,2.806404835,2.782043314,3.274730134,3.143936663,2.245896704,2.461895009,3.485217292,3.525949972,3.538372974,4.189087988
700215,Daniel Boyd,2.8881099737500002,East Asian,16,35.819778361111105,257712,33.72277649376935,-110.83169390876647,3.310778768,2.567964225,3.303912106,2.992702675,3.333039225,3.36460838,3.277881085,2.682243492,2.751099152,2.036864135,2.956632205,2.469361477,2.908862158,2.977208418,2.79085807,2.774205914,2.843939301,2.415992369,2.879240031,2.394946163,3.668882816,3.118642123,3.168998675,2.538766689,3.322626432,2.815184814,3.146099525,2.055538842
700216,Michael Day,3.569351555214286,White,40,20.681076550793648,437628,33.91377654837877,-111.75749222637177,3.536099444,3.622206475,3.489614053,3.837202651,3.274939178,2.994557503,3.019864878,3.084683316,3.178369089,4.115414119,4.053088564,3.219829356,3.290360023,3.447884996,4.098888182,3.866850263,4.331713147,3.820482703,3.566202333,2.940850225,3.436615149,2.781757984,3.47085566,3.751216849,3.938673388,3.549435623,4.196089354,4.028099041
700217,Jason Johnson,2.1053775411785716,Black,42,53.213832418253965,169263,34.33744238034818,-109.60961205210565,2.272682073,1.978133145,2.890230543,2.431591387,2.632586383,1.960067239,1.833992222,2.478673572,1.973712271,2.492616205,2.246448428,1.723645563,2.432974181,2.264125874,1.930660555,1.738809994,2.228743841,1.411720142,1.509168255,1.748865957,2.780177738,1.644411438,2.227840869,1.728802129,2.457935824,2.296190533,1.843858372,1.79190642
700218,Guy Smith,4.052600886071429,East Asian,83,9.94220253174602,195494,35.502083442914795,-109.55890342029025,4.184591056,3.633595807,3.964894108,4.1797592,4.607938706,5.062743123,3.953346792,4.012946373,4.103457096,4.299045507,4.266253847,4.065261475,3.68505992,3.785178827,3.656974205,3.853829788,3.798100947,4.251548185,4.109734045,4.066012492,4.481704712,4.615475676,3.63396342,3.660566172,3.801115639,3.524926851,4.243827916,3.970972925
700219,Jose Ayers,2.4085848889642856,Black,87,46.47589135634921,79929,34.83679504218179,-110.55408952307873,2.336440608,2.239348716,2.42886891,2.645330395,2.890984205,2.690784264,2.91543644,2.365015022,2.492998748,2.850080838,3.081274759,2.876281436,2.337113658,2.494709504,2.389632045,2.718307106,2.467226872,2.336603636,2.604425065,2.006442477,2.066856154,1.658945761,2.048608254,2.272578478,1.977745091,2.477607922,1.669404437,2.10132609
700220,Francisco Lindsey,3.114023960357143,Hispanic,40,30.799467547619045,112533,36.36663089175457,-111.11015846196865,3.868128572,3.116079186,3.297642099,3.11603415,3.572401995,3.53760936,3.295615491,3.013288447,2.952908299,2.632864663,3.21509275,2.676418055,3.026736032,2.684530323,2.559534945,2.504709864,3.042657305,2.342783372,2.455137369,2.912848978,3.705941479,3.054449579,2.300680002,2.447288707,4.439401772,3.599912064,4.100313005,3.721663027
700221,Richard Allen,2.5097315733571426,Hispanic,77,44.228187258730166,87789,33.7290992815004,-111.47302170970354,2.553341496,2.454892045,2.663100147,2.267527732,2.369976845,2.426400952,2.237995687,2.153718815,2.46675566,2.640603484,3.046007161,2.679698346,3.205936547,2.642344224,2.835865895,2.745760506,2.29339312,2.335332777,2.414955777,1.610398708,2.985904168,2.927836139,2.294769384,2.187035946,2.044383828,2.375799771,2.677093431,2.735655463
700222,Jeffrey Scott,3.5233484607142853,Hispanic,37,21.703367539682546,315741,35.36068968502645,-111.76740019739492,3.644013152,3.699570686,3.252627534,3.994609793,3.953962933,3.344857802,3.901217871,3.765902923,2.922598064,3.233549886,3.521934084,3.915877766,3.686215102,4.435654778,3.913902081,3.837092486,4.064151487,3.636957623,2.962351597,3.050901224,3.655088503,3.216883441,3.413882496,4.109290985,3.014192231,2.925577485,2.70396756,2.876925327
700223,Vickie Martin,2.6203212688928574,White,6,41.77063846904762,245948,35.82660718102,-110.19215248718827,3.010536724,3.20476046,3.307551305,2.918175576,3.507493533,3.490032938,3.455084655,3.042523057,2.721522128,2.90417346,2.522218041,2.640247587,3.247452734,2.894954536,3.350864,2.785846616,2.553019669,2.972514896,2.322885898,2.360576759,2.107902368,2.322362366,1.535473028,1.950408266,1.455727744,1.579218909,1.870438457,1.335029819
700224,Rhonda Morales,2.848812402428572,East Asian,95,36.69305772380951,456743,35.00050910643997,-111.97103581871035,3.162496056,3.218827451,2.686445236,3.011307902,2.024153095,2.352235793,3.482772812,3.143822758,2.985657314,2.800942832,3.281907529,3.530650143,2.547881285,2.508181849,2.868276105,2.970558019,2.666771369,1.840113548,2.168532196,2.222210324,3.149085075,3.429850652,3.634399038,4.158454621,2.857901975,3.041706244,1.95626691,2.065339137
700225,John Harrison,2.777721497178571,East Asian,78,38.27285561825398,73208,33.5211848139116,-110.22725571492843,2.484177253,2.768299553,3.125478261,3.14248118,2.633470442,2.695024301,2.690396859,2.663793693,2.524787163,2.174740482,2.4405929,2.672364008,2.823294416,2.853327218,3.129527716,3.577947669,3.174209532,2.937202953,3.609448364,3.686376717,2.415985333,2.649633583,2.338876191,2.447397207,2.620720893,2.392712283,2.226868337,2.877067414
700226,Tammy Gonzales,3.4890303145714276,White,56,22.465993009523828,78220,34.76529272330031,-112.49276189940052,3.888277753,3.963661628,4.533310863,3.788123849,3.575160002,3.022076546,3.09339212,2.608086311,3.203801843,3.146961226,3.072904107,3.140312017,3.598225581,3.983848242,3.448933664,3.260730674,3.458128855,2.826837295,2.356702895,3.192208771,2.923797561,2.967568457,3.811841522,3.620099609,4.589893772,4.22379378,4.439114011,3.955055854
700227,Randall Clark,3.819885125107143,Black,86,15.113663886507936,399653,33.997562495691916,-109.83349658453199,4.070569285,4.427158309,4.209387287,3.847686476,4.184478882,4.194789525,3.605901482,3.73563905,3.997044341,3.533331863,2.900212554,3.235052799,2.996028717,3.363720322,3.716203572,3.649741878,3.393372919,4.003885554,3.354641854,3.719774173,3.865693715,4.145799475,3.802088635,4.133634245,4.324156217,3.864881984,4.304186216,4.377722174
700228,Kaitlyn Williams,2.1349670156785714,White,53,52.556288540476196,482353,36.110167504952884,-109.34330094003934,2.920356361,2.457740428,2.468017795,2.391926541,1.656603191,1.965598563,2.330442193,2.348340774,1.689917957,1.586778571,2.571703578,1.918151999,2.279454074,1.834119632,2.179425337,1.871064018,2.423962353,2.386913369,1.995659447,2.876375138,2.585501251,2.235834202,1.55164945,1.327294948,2.060317452,1.599082792,1.441098101,2.825746924
700229,Brittany Hogan,3.630312332750001,Black,3,19.326392605555526,318606,34.895079303790105,-111.28587787143562,4.582747328,4.741612133,4.464376072,3.997078698,4.153658954,3.942319119,3.87261626,4.122410327,3.950335441,3.824809552,4.163349619,3.897753699,4.071093747,3.392087375,2.945468585,3.168306911,3.55253729,2.375754454,2.91966228,2.818286419,2.851486838,2.858390576,3.485378179,3.592518639,3.779915876,3.097666098,3.352263585,3.674861263
700230,Kelly Flowers,2.6730095966785714,White,85,40.5997867404762,303002,36.37796106217186,-111.74190498145677,2.624912545,2.269799814,2.305061562,2.403428613,2.69508898,3.156608126,2.880583528,2.956090459,1.628563243,1.996046872,2.366898098,2.55860119,3.106512091,2.298837122,2.592856532,2.368545507,3.244724928,2.042153785,2.534758142,2.642252089,2.609567999,2.284211155,3.06610283,3.326854371,3.345865217,3.336003322,3.176163997,3.02717659
700231,Cindy Francis,4.068353533071429,South Asian,85,9.59214370952381,98857,34.055692712899855,-109.92734149170401,4.339169143,4.532676729,4.113791482,4.221457161,3.737081206,4.360482188,3.614319736,3.689381893,4.39536566,4.233594295,4.56702352,3.686816798,4.709590721,4.888828056,3.870267061,4.284723605,3.690115218,4.063875324,4.238923462,3.693191818,4.068344104,3.963834027,3.744813306,3.961679639,3.583981407,3.997599119,3.977632539,3.685339709
700232,Douglas Evans,3.0182870020714287,East Asian,41,32.92695550952381,364360,35.14003488729283,-109.41697147639324,3.527511316,3.195403575,2.605772519,2.843632439,2.858075263,2.691936517,3.248994171,2.891406097,3.166035899,3.257524505,3.248294132,2.729646637,3.655614865,3.500843436,3.201899946,3.424598665,2.960936981,2.581752488,3.484182877,3.108154064,3.61182864,2.619076338,2.605520488,2.860813676,2.391296778,2.354055528,3.019262274,2.867965944
700233,Donald Shields,2.7414148726785714,South Asian,79,39.07966949603174,367971,33.72733974252256,-112.18673740574899,3.140060925,2.464873585,2.709778314,2.624312959,2.471487994,2.911123872,2.749741821,2.829241103,2.926997508,3.529086083,2.953878622,2.837300536,2.712300327,2.378133008,3.09464223,2.723812653,2.620104595,2.298549514,2.640794043,2.458852371,3.622855128,3.791696326,3.249405103,2.860086137,2.368932036,1.859133955,2.250631899,1.681803788
700234,Joseph Anderson,2.8313819942500005,Hispanic,39,37.08040012777777,421109,33.60682947564355,-111.79968419843625,2.457731821,2.763573006,2.452108072,2.334362073,3.282548088,2.894515758,2.242468905,2.864827421,2.825155715,2.179392302,1.570330793,1.646928229,3.231940667,3.145956181,3.128081932,2.450982494,2.74697595,2.687578246,2.268612704,2.721878924,2.886790105,2.876086045,2.934471708,3.123563837,3.897187147,4.132716674,4.064948936,3.466982106
700235,Brandon Francis,2.0754434660000007,White,5,53.87903408888887,265923,35.59122890548214,-111.24057231758556,2.984769679,3.262237688,3.439725724,2.998854285,3.061666328,2.623280538,3.021823586,2.654979586,2.9001501,1.912181182,2.355358722,2.353817208,2.1262041,1.35625291,1.979441507,2.198489728,1.874339431,1.942222892,1.539362754,2.213160672,1.142940592,0.941412808,1.703665969,1.496199855,1.586244487,0.81114087,1.293109595,0.339384252
700236,Stacey Murphy,2.46639908225,East Asian,4,45.191131505555546,223760,35.72069856126868,-110.64098868679262,2.712917539,2.564782448,2.652868114,2.63515766,3.778333556,2.76432882,3.17102967,3.094944183,2.569313049,3.049342908,3.04646628,2.862644245,1.959125805,2.617138147,2.607006776,2.356908161,2.643055657,2.327964212,2.397833245,2.675906058,2.341927448,1.481143168,2.050144826,1.873750635,1.360601914,1.128727356,1.958902347,2.376910076
